duration,comments,latitude,longitude,year
60.0,Bright fireball with a tail in daylight over Wellsville&#44 NY.,42.1219444,-77.9483333,2012
900.0,3 amber orbs forming a triangle then a straight line then disappearing.,38.0291667,-78.4769444,2012
420.0,5 differeny colored lights flashing and blinking and solid orange burst heading over delaware bay,38.9125,-75.4283333,2012
900.0,TWO SEPERATE OCCASIONS WITNESSED ORANGE-REDDISH BALLS OF LIGHT APPEARING AND DISAPPERING ABOVE THE OCEAN. ALSO TWO ACCELERATING  FAST,33.8158333,-78.6802778,2012
4.0,Orange/red light over the ocean,33.8158333,-78.6802778,2012
240.0,Eventually&#44 the truth will reveal itself,38.8047222,-77.0472222,2012
300.0,As I was driving along&#44 I noticed a UFO in the sky. Now&#44 I hardly see a UFO. It is rare occasion. The object that I saw was very notice,36.175,-115.1363889,2012
600.0,1&#44 then 3&#44 then 6 red/orange lights over the ocean,33.6888889,-78.8869444,2012
4.0,At 6:45 pm while walking on the bike path near Frency&#39s Park&#44 a low flying bright white and a little bit blue light in a small oval or,35.6869444,-105.9372222,2012
6.0,Bright light Moving south to north. It was to the west of Norton and Mansfield Massachusetts,41.9666667,-71.1875,2012
1200.0,We saw several odd shaped orange shapes in sky at three different intervals&#44 about fifteen minutes apart. Last time they were circular.,33.6058333,-78.9733333,2012
120.0,6 to 7 glowing orange/yellow balls in sky,33.5508333,-79.0416667,2012
30.0,El objeto venia hacia el varrio de franklin hill dorchester MA&#44 en una velocidad moderada pero cuando se acerco acia el playground paro,42.2972222,-71.075,2012
120.0,Saw two orange/yellow lights (orbs?) in the sky dimmed came back disappeared shortly,39.2463889,-82.4786111,2012
120.0,Two lights in the sky that were not planes or any other craft that flies at normal flying altitudes.,40.8908333,-77.4769444,2012
5.0,Orange-yellow  lights staggered one behind the other&#44 very bright and very long about 1/4 mile in the air hovering over the ocean.,33.8158333,-78.6802778,2012
300.0,Orange lights seen over the ocean from Charlseton Harbor,32.7763889,-79.9311111,2012
60.0,Red light moving in odd manner over Hammond&#44 IN,41.5833333,-87.5,2012
4.0,Bright light moving slowly&#44 then stopping in mid air.  Bright green through binoculars.  Returns to same location.,33.9813889,-81.2363889,2012
900.0,I saw three flashing lights in the sky over Melbourne Beach.  They moved erratically and kept flashing the whole time that I saw them.,28.0680556,-80.5605556,2012
60.0,Around 12:30 am Wednesday morning&#44 me and my friend witnessed an orange orb-like object hover across the sky. We had been sitting in a,42.0883333,-87.9805556,2012
120.0,Two bright orbs following car on Colorado&#39s eastern plain.,39.2638889,-103.6916667,2012
4.0,As I entered my place of business I suddenly looked up west and noticed a blue flame in the sky streaking across at a 45 degree angle m,41.6572222,-87.68,2012
60.0,Lights from a craft changing shape &amp; formation,33.8730556,-78.6144444,2012
35.0,Brownish shaped changing object.,32.2216667,-110.9258333,2012
240.0,UFOs landed in mt. vernon&#44 wa.,48.4213889,-122.3327778,2012
120.0,A bright white orb appeared to hover above the ground for two minutes before disappearing.,39.2775,-74.575,2012
5.0,Disk,33.9813889,-81.2363889,2012
1200.0,Second sighting of orange orbs with green/blue lights since June 2012.,40.4405556,-79.9961111,2012
1500.0,Orange lights were seen hovering over the ocean. These lights created lines of upto 4 lights then quickly dissipating.,33.6888889,-78.8869444,2012
240.0,Fiery ball of light slowly growing bigger then fading away all in sequence in triangular formation with other lights.,33.6888889,-78.8869444,2012
1200.0,Orange balls of light appeared in sky above the ocean and darted from left to right.,33.8272222,-78.6430556,2012
30.0,Bright orange lights appeared above the horizon&#44 only to disappear&#44 then reappear in formation.  Lasted about 30 seconds.,33.6888889,-78.8869444,2012
120.0,Observation&#44 numerous times&#44 orange lights to the East of Myrtle Beach&#44 SC.,33.6888889,-78.8869444,2012
900.0,Lights over Atlantic Ocean during evening&#44 easily seen&#44 quickly disappearred&#44 several locations,33.6888889,-78.8869444,2012
15.0,Sequential lights in straight&#44 horizontal lines in the sky over Texas.,31.0636111,-98.1813889,2012
